price,location,price_m2,area,property_from,room_no,finish_condition,balcony_garden_terrace,rent,parking_place,heating
1 245 000 zł,"Warszawa, Mokotów, ul. Mariana Zdziechowskiego ",15 962 zł/m²,78 m²,pełna własność,4 ,do wykończenia,balkon,600 zł,garaż/miejsce parkingowe,miejskie
1 245 000 zł,"Warszawa, Mokotów, ul. Mariana Zdziechowskiego ",15 962 zł/m²,78 m²,pełna własność,4 ,do wykończenia,balkon,600 zł,garaż/miejsce parkingowe,miejskie
1 760 000 zł,"Warszawa, Stegny, ul. Mangalia ",19 959 zł/m²,"88,18 m²",pełna własność,4 ,do zamieszkania,balkon,Zapytaj,Zapytaj,Zapytaj
12 000 000 zł,"Warszawa, Mokotów, ul. Podchorążych ",43 796 zł/m²,274 m²,Zapytaj,5 ,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 729 000 zł,"Warszawa, Ksawerów, ul. Domaniewska 24",17 127 zł/m²,"100,95 m²",pełna własność,4 ,do wykończenia,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 317 500 zł,"Służewiec, Warszawa, Warszawa",15 500 zł/m²,85 m²,pełna własność,4 ,do zamieszkania,balkon,1 200 zł,garaż/miejsce parkingowe,miejskie
849 000 zł,"Warszawa, Ksawerów, ul. Domaniewska 24",15 408 zł/m²,"55,1 m²",pełna własność,2 ,do wykończenia,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj
660 000 zł,"Warszawa, Mokotów, ul. Żwirki i Wigury ",13 200 zł/m²,50 m²,pełna własność,2 ,do zamieszkania,balkon,675 zł,Zapytaj,miejskie
539 000 zł,"Warszawa, Dolny Mokotów, ul. Jurija Gagarina ",19 012 zł/m²,"28,35 m²",pełna własność,1 ,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,miejskie
1 489 000 zł,"Warszawa, Górny Mokotów, ul. Kwiatowa ",19 592 zł/m²,76 m²,pełna własność,3 ,do zamieszkania,Zapytaj,1 200 zł,Zapytaj,miejskie
1 026 760 zł,"Warszawa, Mokotów, ul. Figowa ",19 000 zł/m²,"54,04 m²",pełna własność,3 ,do wykończenia,"taras, ogródek",Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 738 445 zł,"Warszawa, Mokotów, ul. Figowa ",18 500 zł/m²,"93,97 m²",pełna własność,4 ,do wykończenia,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
709 962 zł,"Warszawa, Mokotów, ul. Figowa ",18 600 zł/m²,"38,17 m²",pełna własność,2 ,do wykończenia,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
Zapytaj o cenę,"Warszawa, Mokotów, ul. Stanisława Kierbedzia ",,"58,24 m²",pełna własność,3 ,do wykończenia,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
Zapytaj o cenę,"Warszawa, Mokotów, ul. Stanisława Kierbedzia ",,"34,61 m²",pełna własność,1 ,do wykończenia,"taras, ogródek",Zapytaj,garaż/miejsce parkingowe,Zapytaj
Zapytaj o cenę,"Warszawa, Mokotów, ul. Stanisława Kierbedzia ",,"43,16 m²",pełna własność,2 ,do wykończenia,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
870 000 zł,"Warszawa, Pole Mokotowskie, ul. Biały Kamień ",25 588 zł/m²,34 m²,pełna własność,2 ,do zamieszkania,balkon,400 zł,garaż/miejsce parkingowe,miejskie
1 277 700 zł,"Warszawa, Mokotów, al. Aleja Wilanowska ",16 112 zł/m²,"79,3 m²",pełna własność,3 ,Zapytaj,taras,Zapytaj,garaż/miejsce parkingowe,miejskie
1 105 000 zł,"Warszawa, Mokotów, ul. Obrzeżna 1F",17 823 zł/m²,62 m²,pełna własność,2 ,do zamieszkania,balkon,537 zł,garaż/miejsce parkingowe,miejskie
850 000 zł,"Warszawa, Mokotów, ul. Postępu 25",21 250 zł/m²,40 m²,pełna własność,2 ,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
799 000 zł,"Warszawa, Mokotów, al. Aleja gen. Władysława Sikorskiego ",16 881 zł/m²,"47,33 m²",pełna własność,2 ,do zamieszkania,balkon,580 zł,garaż/miejsce parkingowe,Zapytaj
4 000 000 zł,"Warszawa, Ksawerów, ul. Władysława Orkana ",25 515 zł/m²,"156,77 m²",pełna własność,5 ,do wykończenia,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,miejskie
2 600 000 zł,"Warszawa, Wyględów, ul. Stanisława Żaryna ",23 491 zł/m²,"110,68 m²",pełna własność,4 ,Zapytaj,balkon,1 730 zł,garaż/miejsce parkingowe,miejskie
3 190 000 zł,"Warszawa, Mokotów, ul. Jana III Sobieskiego ",25 975 zł/m²,"122,81 m²",pełna własność,4 ,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 795 000 zł,"Warszawa, Mokotów, ul. Bokserska ",19 878 zł/m²,"90,3 m²",Zapytaj,3 ,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
920 000 zł,"Warszawa, Dolny Mokotów, ul. Jana III Sobieskiego ",13 295 zł/m²,"69,2 m²",pełna własność,3 ,do zamieszkania,balkon,Zapytaj,Zapytaj,miejskie
1 599 000 zł,"Warszawa, Służewiec, ul. Bokserska ",17 950 zł/m²,"89,08 m²",pełna własność,4 ,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 599 000 zł,"Warszawa, Służewiec, ul. Bokserska ",17 610 zł/m²,"90,8 m²",pełna własność,4 ,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 180 000 zł,"Warszawa, Mokotów, ul. Obrzeżna ",19 614 zł/m²,"60,16 m²",Zapytaj,2 ,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1 680 000 zł,"Warszawa, Służewiec, ul. Bokserska ",18 788 zł/m²,"89,42 m²",Zapytaj,4 ,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
