price,location,price_m2,area,property_from,room_no,finish_condition,balcony_garden_terrace,rent,parking_place,heating
718 000 zł,"Czerniaków, Warszawa, Warszawa",12 358 zł/m²,"58,1 m²",pełna własność,4,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
699 000 zł,"Wyględów, Warszawa, Warszawa",13 980 zł/m²,50 m²,spółdzielcze wł. z KW,3,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
789 000 zł,"Dolny Mokotów, Warszawa, Warszawa",17 152 zł/m²,46 m²,pełna własność,2,do zamieszkania,Zapytaj,Zapytaj,garaż/miejsce parkingowe,miejskie
618 000 zł,"Służewiec, Warszawa, Warszawa",14 372 zł/m²,43 m²,spółdzielcze wł. z KW,2,do zamieszkania,Zapytaj,Zapytaj,garaż/miejsce parkingowe,miejskie
1 499 000 zł,"Warszawa, Górny Mokotów, al. Aleja Wyścigowa",15 141 zł/m²,99 m²,pełna własność,4,do zamieszkania,balkon,1 000 zł,Zapytaj,miejskie
660 000 zł,"Warszawa, Mokotów, ul. Żwirki i Wigury",13 200 zł/m²,50 m²,pełna własność,2,do zamieszkania,balkon,675 zł,Zapytaj,miejskie
539 000 zł,"Warszawa, Dolny Mokotów, ul. Jurija Gagarina",19 012 zł/m²,"28,35 m²",pełna własność,1,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,miejskie
699 000 zł,"Pole Mokotowskie, Warszawa, Warszawa",18 892 zł/m²,37 m²,spółdzielcze wł. z KW,2,do zamieszkania,balkon,500 zł,Zapytaj,miejskie
1 363 049 zł,"Warszawa, Mokotów, ul. Seweryna Goszczyńskiego",18 950 zł/m²,"71,93 m²",pełna własność,3,do wykończenia,ogródek,Zapytaj,garaż/miejsce parkingowe,miejskie
616 000 zł,"Warszawa, Górny Mokotów, ul. Stefana Batorego",16 559 zł/m²,"37,2 m²",spółdzielcze wł. z KW,2,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,miejskie
726 000 zł,"Warszawa, Stegny, ul. Egejska 1",13 698 zł/m²,53 m²,pełna własność,3,do zamieszkania,ogródek,Zapytaj,Zapytaj,miejskie
510 000 zł,"Warszawa, Dolny Mokotów, ul. Czerniakowska",16 804 zł/m²,"30,35 m²",pełna własność,1,do zamieszkania,Zapytaj,"401,52 zł",Zapytaj,miejskie
779 000 zł,"Warszawa, Służewiec, ul. Bokserska",16 142 zł/m²,"48,26 m²",pełna własność,2,do wykończenia,balkon,580 zł,Zapytaj,miejskie
1 500 000 zł,"Warszawa, Mokotów, ul. Górska",15 873 zł/m²,"94,5 m²",pełna własność,4,do remontu,balkon,1 200 zł,Zapytaj,Zapytaj
2 550 000 zł,"Warszawa, Mokotów, Jana Pohoskiego",20 079 zł/m²,127 m²,Zapytaj,4,do zamieszkania,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj
799 000 zł,"Warszawa, Mokotów, ul. Kmicica",13 776 zł/m²,58 m²,pełna własność,3,do zamieszkania,balkon,940 zł,garaż/miejsce parkingowe,Zapytaj
1 105 000 zł,"Warszawa, Mokotów, ul. Obrzeżna 1F",17 823 zł/m²,62 m²,pełna własność,2,do zamieszkania,balkon,537 zł,garaż/miejsce parkingowe,miejskie
850 000 zł,"Warszawa, Mokotów, ul. Postępu 25",21 250 zł/m²,40 m²,pełna własność,2,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 053 000 zł,"Warszawa, Ksawerów, ul. Domaniewska 24",21 098 zł/m²,"49,91 m²",pełna własność,2,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 729 000 zł,"Warszawa, Ksawerów, ul. Domaniewska 24",17 127 zł/m²,"100,95 m²",pełna własność,4,do wykończenia,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj
876 000 zł,"Warszawa, Ksawerów, ul. Domaniewska 24",17 126 zł/m²,"51,15 m²",pełna własność,1,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj
849 000 zł,"Warszawa, Ksawerów, ul. Domaniewska 24",15 408 zł/m²,"55,1 m²",pełna własność,2,do wykończenia,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 030 000 zł,"Warszawa, Mokotów, ul. Zwierzyniecka",15 526 zł/m²,"66,34 m²",pełna własność,3,do wykończenia,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,miejskie
680 000 zł,"Warszawa, Mokotów, ul. Włoska",17 436 zł/m²,39 m²,spółdzielcze wł. z KW,2,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,miejskie
3 950 000 zł,"Warszawa, Mokotów, ul. Leszczyny",21 751 zł/m²,"181,6 m²",spółdzielcze własnościowe,4,do zamieszkania,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,miejskie
4 600 000 zł,"Mokotów, Warszawa, Warszawa",27 350 zł/m²,"168,19 m²",pełna własność,4,do zamieszkania,ogródek,Zapytaj,garaż/miejsce parkingowe,miejskie
594 000 zł,"Warszawa, Mokotów, ul. Domaniewska",21 822 zł/m²,"27,22 m²",Zapytaj,1,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
1 020 000 zł,"Warszawa, Mokotów, al. Aleja Wyścigowa",16 969 zł/m²,"60,11 m²",pełna własność,2,do zamieszkania,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,miejskie
639 000 zł,"Warszawa, Mokotów, ul. Wolfganga Amadeusza Mozarta",13 861 zł/m²,"46,1 m²",spółdzielcze wł. z KW,2,do zamieszkania,balkon,690 zł,garaż/miejsce parkingowe,miejskie
1 257 000 zł,"Warszawa, Mokotów, ul. Nałęczowska",16 986 zł/m²,74 m²,pełna własność,3,do zamieszkania,balkon,750 zł,garaż/miejsce parkingowe,miejskie
849 000 zł,"Górny Mokotów, Warszawa, Warszawa",15 270 zł/m²,"55,6 m²",spółdzielcze własnościowe,3,do zamieszkania,balkon,Zapytaj,Zapytaj,miejskie
4 000 000 zł,"Warszawa, Ksawerów, ul. Władysława Orkana",25 515 zł/m²,"156,77 m²",pełna własność,5,do wykończenia,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,miejskie
2 600 000 zł,"Warszawa, Wyględów, ul. Stanisława Żaryna",23 491 zł/m²,"110,68 m²",pełna własność,4,Zapytaj,balkon,1 730 zł,garaż/miejsce parkingowe,miejskie
3 190 000 zł,"Warszawa, Mokotów, ul. Jana III Sobieskiego",25 975 zł/m²,"122,81 m²",pełna własność,4,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 795 000 zł,"Warszawa, Mokotów, ul. Bokserska",19 878 zł/m²,"90,3 m²",Zapytaj,3,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 599 000 zł,"Warszawa, Służewiec, ul. Bokserska",17 950 zł/m²,"89,08 m²",pełna własność,4,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 599 000 zł,"Warszawa, Służewiec, ul. Bokserska",17 610 zł/m²,"90,8 m²",pełna własność,4,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 180 000 zł,"Warszawa, Mokotów, ul. Obrzeżna",19 614 zł/m²,"60,16 m²",Zapytaj,2,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1 680 000 zł,"Warszawa, Służewiec, ul. Bokserska",18 788 zł/m²,"89,42 m²",Zapytaj,4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1 600 000 zł,"Warszawa, Mokotów, ul. Bokserska",17 778 zł/m²,90 m²,Zapytaj,4,Zapytaj,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj
699 000 zł,"Warszawa, Mokotów, ul. Cybernetyki",18 740 zł/m²,"37,3 m²",pełna własność,2,do zamieszkania,Zapytaj,460 zł,Zapytaj,miejskie
519 000 zł,"Warszawa, Stegny, ul. Katalońska",12 299 zł/m²,"42,2 m²",spółdzielcze własnościowe,2,Zapytaj,Zapytaj,600 zł,Zapytaj,miejskie
500 000 zł,"Warszawa, Mokotów, ul. Orzycka",11 521 zł/m²,"43,4 m²",pełna własność,2,do zamieszkania,balkon,Zapytaj,Zapytaj,miejskie
1 088 000 zł,"Warszawa, Służewiec, al. Aleja Wyścigowa",14 507 zł/m²,75 m²,pełna własność,3,Zapytaj,balkon,750 zł,garaż/miejsce parkingowe,miejskie
Zapytaj o cenę,"Warszawa, Mokotów, ul. Białej Koniczyny/ul. Dzikich Jabłoni",,"79,77 m²",pełna własność,4,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj
Zapytaj o cenę,"Warszawa, Mokotów, ul. Białej Koniczyny/ul. Dzikich Jabłoni",,"26,03 m²",pełna własność,1,do wykończenia,ogródek,Zapytaj,garaż/miejsce parkingowe,Zapytaj
Zapytaj o cenę,"Warszawa, Mokotów, ul. Białej Koniczyny/ul. Dzikich Jabłoni",,"42,78 m²",pełna własność,2,do wykończenia,ogródek,Zapytaj,garaż/miejsce parkingowe,Zapytaj
Zapytaj o cenę,"Warszawa, Mokotów, ul. Białej Koniczyny/ul. Dzikich Jabłoni",,"53,29 m²",pełna własność,3,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj
