area,balcony_garden_terrace,finish_condition,heating,location,parking_place,price,price_m2,rent,room_no
"107,3 m²",balkon,do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Bukowińska ",garaż/miejsce parkingowe,1 800 000 zł,16 775 zł/m²,900 zł,3 
62 m²,balkon,do zamieszkania,miejskie,"Mokotów, Warszawa, Warszawa",Zapytaj,760 000 zł,12 258 zł/m²,Zapytaj,3 
"37,43 m²",Zapytaj,do zamieszkania,miejskie,"Warszawa, Górny Mokotów, ul. Racławicka ",Zapytaj,579 000 zł,15 469 zł/m²,600 zł,1 
28 m²,Zapytaj,do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Ludwika Narbutta ",garaż/miejsce parkingowe,645 000 zł,23 036 zł/m²,410 zł,1 
"106,5 m²",balkon,do zamieszkania,gazowe,"Warszawa, Mokotów, al. Aleja Wilanowska ",garaż/miejsce parkingowe,1 559 000 zł,14 638 zł/m²,1 400 zł,3 
90 m²,balkon,do zamieszkania,miejskie,"Warszawa, Górny Mokotów, Holm House ",garaż/miejsce parkingowe,1 867 000 zł,20 744 zł/m²,1 080 zł,4 
"49,4 m²",Zapytaj,do zamieszkania,miejskie,"Warszawa, Sadyba, ul. Urle ",garaż/miejsce parkingowe,639 000 zł,12 935 zł/m²,950 zł,3 
79 m²,balkon,do zamieszkania,miejskie,"Warszawa, Służewiec, ul. Obrzeżna ",garaż/miejsce parkingowe,1 300 000 zł,16 456 zł/m²,850 zł,3 
"56,56 m²",balkon,do zamieszkania,miejskie,"Warszawa, Służewiec, ul. Taśmowa ",garaż/miejsce parkingowe,1 015 000 zł,17 946 zł/m²,600 zł,3 
"38,17 m²",Zapytaj,do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Bukietowa 8",Zapytaj,610 000 zł,15 981 zł/m²,600 zł,2 
"34,42 m²",Zapytaj,do remontu,miejskie,"Warszawa, Mokotów, ul. Konstruktorska ",Zapytaj,602 500 zł,17 504 zł/m²,300 zł,2 
"47,2 m²",Zapytaj,do zamieszkania,miejskie,"Mokotów, Warszawa, Warszawa",Zapytaj,715 000 zł,15 148 zł/m²,600 zł,3 
58 m²,balkon,do wykończenia,miejskie,"Warszawa, Mokotów, ul. Zwierzyniecka ",Zapytaj,625 000 zł,10 776 zł/m²,1 000 zł,3 
97 m²,"balkon, ogródek, taras",do zamieszkania,miejskie,"Warszawa, Mokotów, al. Aleja Wilanowska ",garaż/miejsce parkingowe,1 850 000 zł,19 072 zł/m²,1 200 zł,4 
"140,7 m²","balkon, taras",do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Konstancińska ",garaż/miejsce parkingowe,3 199 000 zł,22 736 zł/m²,1 800 zł,4 
"61,58 m²",balkon,do zamieszkania,miejskie,"Warszawa, Mokotów, Stanisława Pyjasa ",garaż/miejsce parkingowe,790 000 zł,12 829 zł/m²,1 000 zł,3 
"41,29 m²",balkon,do zamieszkania,miejskie,"Warszawa, Służewiec, ul. Smyczkowa ",garaż/miejsce parkingowe,940 000 zł,22 766 zł/m²,586 zł,2 
"52,55 m²",balkon,do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Bartycka 49",garaż/miejsce parkingowe,1 050 000 zł,19 981 zł/m²,Zapytaj,2 
65 m²,balkon,do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Bokserska ",garaż/miejsce parkingowe,1 150 000 zł,17 692 zł/m²,650 zł,3 
58 m²,balkon,Zapytaj,miejskie,"Mokotów, Warszawa, Warszawa",Zapytaj,680 000 zł,11 724 zł/m²,Zapytaj,3 
"57,1 m²",balkon,do zamieszkania,miejskie,"Warszawa, Mokotów, ul. Wita Stwosza ",garaż/miejsce parkingowe,799 000 zł,13 993 zł/m²,750 zł,4 
